"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
56737 307 262 554.303580425217 59546 2313744 "1" 0.633859189712802 0.48451465169824
56937 8 8 1981.48214285714 56 56 "1" 1 1
56961 294 195 581.307179487179 9750 85979 "1" 0.113185205822944 0.0205090638808237
57023 707 465 416.901478258988 92406 2569956 "1" 0.18512968253523 0.0438191255343105
57222 3 3 598 6 1 "1" 1 1
57528 3 3 259.666666666667 6 1 "1" 1 1
58084 1447 483 356.913843112714 201342 6587857 "1" 0.0962271346927539 0.0130734660299756
58429 4 3 413.416666666667 12 4 "1" 1 1
59366 961 487 411.218202474666 185722 7143666 "1" 0.201311567811308 0.0484461381794034
59690 256 245 120.165984993379 33985 795842 "1" 0.520603553921569 0.287981270264011
59820 500 451 807.768673077341 46069 1273368 "1" 0.184645290581162 0.0614901127556317
60584 2252 491 368.750825195441 379910 22836505 "1" 0.0749439956822032 0.0120130833240617
61150 781 479 1289.90797497522 164477 8742091 "1" 0.2699973735185 0.110530842171262
61748 3607 491 682.961880684604 546652 23657476 "1" 0.0420280341684784 0.00302720982883635
62002 2644 491 1143.53350540758 305682 11590948 "1" 0.0437432706953486 0.0037668539391533
62249 3 3 545 6 1 "1" 1 1
62504 518 473 762.245822140534 141460 8926572 "1" 0.528218187792656 0.387584105050706
62695 1729 488 474.045563757059 322976 15745694 "1" 0.108101450206713 0.0183097320417133
63366 1047 489 445.342087288701 244499 11500012 "1" 0.223253728672105 0.0602913331849469
63524 3 3 570.5 6 1 "1" 1 1
63854 3 3 281 3 0 "1" 0.5 0
63981 3 3 453 4 0 "1" 0.666666666666667 0
64055 3 3 304.666666666667 6 1 "1" 1 1
64101 3589 491 498.371637636006 560729 28264586 "1" 0.0435438800521723 0.00367144147431972
64442 3583 491 364.087674786822 629052 32638015 "1" 0.0490133241329917 0.00426086993508058
64486 3 3 148.166666666667 6 1 "1" 1 1
64500 3 3 947.166666666667 6 1 "1" 1 1
64797 1797 488 366.688042994679 280965 13551535 "1" 0.0870558205769824 0.0140352734723225
65931 200 152 1517.04800190578 16791 362834 "1" 0.421884422110553 0.276255520024364
66110 11 11 166.619565217391 92 120 "1" 0.836363636363636 0.727272727272727
66115 786 479 188.362701807166 144259 7325862 "1" 0.233803341923146 0.0908660644206144
66334 165 159 92.7144924739483 10364 114878 "1" 0.3830007390983 0.156268959231701
67260 1193 488 413.004720185324 287065 14387016 "1" 0.201866171233763 0.0509675216905585
67385 31 28 321.178787878788 330 516 "1" 0.354838709677419 0.114794215795328
67642 4 2 524.75 12 4 "1" 1 1
68177 3157 491 454.634768725759 558709 27277106 "1" 0.0560756208766966 0.0052064128334621
68394 768 481 406.784286104443 139138 5567087 "1" 0.236205046718818 0.0740276401351779
68610 2178 491 506.001044222417 372526 17504713 "1" 0.0785670206892072 0.0101796078872409
68753 567 478 308.58697491392 50825 873374 "1" 0.158371816204561 0.0289003812190904
69044 2776 491 430.385927611193 342401 13871725 "1" 0.0444480359321858 0.00389486863907638
69082 2168 484 543.439713216693 235997 6050399 "1" 0.0502329048440461 0.00356745599312588
69267 781 200 711.015021257972 63976 1684720 "1" 0.105019862766342 0.0213007986788023
69351 12 12 830.666666666667 114 168 "1" 0.863636363636364 0.763636363636364
69441 4 4 176.5 6 0 "1" 0.5 0
69450 3 3 1038.66666666667 6 1 "1" 1 1
69776 3 3 786.166666666667 6 1 "1" 1 1
70077 11 11 72.3333333333333 36 13 "1" 0.327272727272727 0.0787878787878788
70749 303 299 1073.10674846626 48085 1542129 "1" 0.525484667672065 0.33593549009694
71436 8 8 213.1875 16 2 "1" 0.285714285714286 0.0357142857142857
71483 424 407 158.239108685766 10995 55326 "1" 0.0613040278335341 0.0043859315336158
71576 25 25 650.402985074627 201 186 "1" 0.335 0.0808695652173913
71735 731 458 389.864155291615 56410 1080114 "1" 0.105709948840957 0.0166591592685828
71830 631 489 935.729650459988 157178 9118922 "1" 0.395386511709808 0.218813542464144
71906 1526 488 605.099989683652 164787 4476412 "1" 0.0708106482177771 0.00757306975972266
71916 4 1 764.833333333333 12 4 "1" 1 1
