"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1237" 29 43 216.758620689655 9 5
"NO" "1238" 55 165 360.545454545455 11 5
"NO" "1239" 10 10 260.4 5 5
"NO" "124" 40 90 530.625 10 5
"NO" "1240" 10 10 199.4 5 5
"NO" "1241" 51 76 473.56862745098 19 5
"NO" "1242" 3 1 248 3 3
"NO" "1243" 150 669 178.233333333333 19 4
"NO" "1244" 10 10 316.5 5 5
"NO" "1245" 10 10 158.3 5 5
"NO" "1246" 1 0 669 2 1
"NO" "1247" 10 10 251.5 5 5
"YES" "1248" 981 8396 85.6676860346585 87 5
"NO" "1249" 10 10 126.5 5 5
"NO" "125" 102 339 60.7156862745098 17 5
"NO" "1250" 28 56 344.928571428571 8 5
"NO" "1251" 57 47 193.333333333333 27 1
"NO" "1252" 1 0 153 2 2
"NO" "1253" 1 0 124 2 1
"NO" "1254" 1 0 65 2 2
"NO" "1255" 10 10 143.1 5 5
"NO" "1256" 6 4 170.5 4 2
"YES" "1257" 10 10 476.2 5 5
"YES" "1258" 36 66 124.222222222222 10 5
"NO" "1259" 1 0 99 2 2
"YES" "126" 34 71 190.294117647059 9 5
"NO" "1260" 11 6 131.818181818182 7 5
"NO" "1261" 6 4 134.166666666667 4 3
"NO" "1262" 33 58 375.121212121212 11 5
"NO" "1263" 1 0 84 2 2
"NO" "1264" 3 1 275 3 3
"YES" "1265" 10 10 210.1 5 5
"NO" "1266" 3 1 235.333333333333 3 3
"NO" "1267" 22 28 157.045454545455 8 4
"NO" "1268" 5 2 108 4 4
"NO" "1269" 6 4 108.333333333333 4 4
"NO" "127" 171 969 311.058479532164 19 5
"NO" "1270" 10 10 369.3 5 5
"NO" "1271" 41 64 132.09756097561 13 1
"NO" "1272" 6 2 83.8333333333333 5 3
"NO" "1273" 3 1 390 3 3
"YES" "1274" 21 35 436.761904761905 7 5
"NO" "1275" 55 165 553.236363636364 11 5
"NO" "1276" 1 0 477 2 1
"NO" "1277" 2 0 124.5 3 3
"NO" "1278" 4 1 76 4 3
"NO" "1279" 1 0 87 2 2
"NO" "128" 3 1 281 3 3
"NO" "1280" 10 10 469.2 5 5
"NO" "1281" 1 0 39 2 1
"NO" "1282" 1 0 242 2 1
"YES" "1283" 10 10 189.9 5 5
"NO" "1284" 23 19 219.391304347826 11 4
"NO" "1285" 3 0 138 4 2
"NO" "1286" 1 0 181 2 2
"NO" "1287" 1 0 470 2 1
"NO" "1288" 25 25 93.32 11 1
"YES" "1289" 10 10 144 5 5
"NO" "129" 10 10 327.9 5 4
"NO" "1290" 6 4 153 4 4
"NO" "1291" 180 439 195.972222222222 42 5
"YES" "1292" 615 2346 312.255284552846 88 5
"NO" "1293" 10 10 284.7 5 5
"NO" "1294" 10 10 202.2 5 5
"NO" "1295" 18 23 243.277777777778 6 5
"NO" "1296" 1 0 52 2 2
"NO" "1297" 1 0 126 2 1
"NO" "1298" 3 1 79 3 1
"NO" "1299" 10 10 917.6 5 5
"NO" "13" 10 10 172.2 5 5
"NO" "130" 28 37 175.571428571429 10 1
"YES" "1300" 6 4 116.666666666667 4 4
"NO" "1301" 1 0 117 2 2
"YES" "1302" 57 115 145.473684210526 16 5
"NO" "1303" 3 1 80.3333333333333 3 3
"NO" "1304" 1 0 179 2 2
"NO" "1305" 1 0 490 2 2
"NO" "1306" 10 10 218.7 5 5
"NO" "1307" 3 1 297.333333333333 3 3
"NO" "1308" 55 165 255.545454545455 11 5
"NO" "1309" 10 10 138.3 5 5
"NO" "131" 10 10 132.8 5 4
"NO" "1310" 44 112 189.909090909091 10 5
"NO" "1311" 6 4 87.5 4 4
"NO" "1312" 3 1 258.333333333333 3 1
"NO" "1313" 136 595 181.926470588235 18 5
"YES" "1314" 86 194 262.058139534884 20 5
"NO" "1315" 3 1 106.333333333333 3 2
"NO" "1316" 10 10 145.8 5 5
"NO" "1317" 28 56 185.857142857143 8 4
"NO" "1318" 10 10 135.4 5 5
"NO" "1319" 4 0 110 5 1
"NO" "132" 13 13 310.923076923077 6 1
"NO" "1320" 1 0 201 2 2
"YES" "1321" 19 26 238.052631578947 7 5
"NO" "1322" 3 1 324 3 2
"NO" "1323" 10067 382329 164.609516241184 194 5
"YES" "1324" 10 10 357.4 5 5
"NO" "1325" 18 15 263.222222222222 9 5
"NO" "1326" 1 0 151 2 2
"NO" "1327" 10 6 95.7 6 5
"NO" "1328" 6 4 128.666666666667 4 4
"NO" "1329" 10 10 168.3 5 5
"NO" "133" 26 45 122.230769230769 8 5
"NO" "1330" 3 1 296.666666666667 3 3
"NO" "1331" 10 10 210.3 5 5
"YES" "1332" 21 35 546.904761904762 7 5
"NO" "1333" 10 10 336.2 5 5
"NO" "1334" 33 48 132.393939393939 9 5
